home_team,away_team,home_goals,away_goals,home_shots,away_shots,home_shot_efficiency,away_shot_efficiency,home_faceoffs,away_faceoffs,home_faceoff_efficiency,away_faceoff_efficiency,attendance,capacity,attendance_rate,home_win,match_url
Адмирал,ХК Сочи,2,4,30,25,0.06666666666666667,0.16,36,28,0.5625,0.4375,2274,5915,0.38444632290786135,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054069/
Сибирь,Локомотив,1,2,17,28,0.058823529411764705,0.07142857142857142,20,27,0.425531914893617,0.574468085106383,3455,6055,0.5706028075970272,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054071/
Барыс,Нефтехимик,1,2,29,26,0.034482758620689655,0.07692307692307693,32,23,0.5818181818181818,0.41818181818181815,4819,12000,0.40158333333333335,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054073/
Салават Юлаев,Авангард,5,0,27,31,0.18518518518518517,0.0,32,32,0.5,0.5,4634,8522,0.5437690682938278,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054075/
Трактор,Металлург Мг,2,5,29,29,0.06896551724137931,0.1724137931034483,22,37,0.3728813559322034,0.6271186440677966,6620,7500,0.8826666666666667,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054077/
Ак Барс,Автомобилист,0,0,46,22,0.0,0.0,29,30,0.4915254237288136,0.5084745762711864,6255,8900,0.702808988764045,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054079/
Куньлунь Ред Стар,Северсталь,2,3,16,49,0.125,0.061224489795918366,24,29,0.4528301886792453,0.5471698113207547,385,7000,0.055,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054081/
Динамо Мн,Витязь,3,5,35,30,0.08571428571428572,0.16666666666666666,37,33,0.5285714285714286,0.4714285714285714,6141,15266,0.4022664745185379,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054085/
Спартак,СКА,1,5,27,45,0.037037037037037035,0.1111111111111111,32,29,0.5245901639344263,0.47540983606557374,3831,12724,0.3010845646023263,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054083/
Амур,ХК Сочи,4,3,44,32,0.09090909090909091,0.09375,39,28,0.582089552238806,0.417910447761194,3211,7100,0.45225352112676054,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054089/
Адмирал,Локомотив,3,2,26,35,0.11538461538461539,0.05714285714285714,17,30,0.3617021276595745,0.6382978723404256,2087,5915,0.35283178360101436,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054087/
Сибирь,ЦСКА,0,3,21,21,0.0,0.14285714285714285,19,27,0.41304347826086957,0.5869565217391305,6055,6055,1.0,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054091/
Салават Юлаев,Металлург Мг,2,3,35,26,0.05714285714285714,0.11538461538461539,30,25,0.5454545454545454,0.45454545454545453,6564,8522,0.7702417272940624,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054093/
Нефтехимик,Динамо М,3,2,26,41,0.11538461538461539,0.04878048780487805,21,37,0.3620689655172414,0.6379310344827587,2438,6050,0.40297520661157027,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054097/
Торпедо,Барыс,3,1,40,32,0.075,0.03125,25,33,0.43103448275862066,0.5689655172413793,5370,5600,0.9589285714285715,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054099/
Ак Барс,Автомобилист,0,0,46,30,0.0,0.0,23,34,0.40350877192982454,0.5964912280701754,6435,8900,0.7230337078651685,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054095/
Куньлунь Ред Стар,Трактор,0,0,21,44,0.0,0.0,11,25,0.3055555555555556,0.6944444444444444,643,7000,0.09185714285714286,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054101/
Северсталь,Спартак,2,4,29,30,0.06896551724137931,0.13333333333333333,33,28,0.5409836065573771,0.45901639344262296,4353,6064,0.7178430079155673,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054103/
СКА,Витязь,4,3,37,30,0.10810810810810811,0.1,40,30,0.5714285714285714,0.42857142857142855,10248,12500,0.81984,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054105/
Адмирал,ЦСКА,1,4,27,31,0.037037037037037035,0.12903225806451613,16,34,0.32,0.68,5144,5915,0.8696534234995773,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054107/
Амур,Локомотив,1,3,23,24,0.043478260869565216,0.125,27,42,0.391304347826087,0.6086956521739131,5120,7100,0.7211267605633803,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054109/
Сибирь,ХК Сочи,3,0,35,26,0.08571428571428572,0.0,32,22,0.5925925925925926,0.4074074074074074,5479,6055,0.9048720066061107,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054111/
Авангард,Металлург Мг,5,1,23,20,0.21739130434782608,0.05,31,30,0.5081967213114754,0.4918032786885246,10231,12011,0.851802514361835,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054113/
Салават Юлаев,Динамо М,3,2,28,37,0.10714285714285714,0.05405405405405406,34,26,0.5666666666666667,0.43333333333333335,6184,8522,0.7256512555738089,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054115/
Ак Барс,Барыс,2,3,25,33,0.08,0.09090909090909091,25,30,0.45454545454545453,0.5454545454545454,6507,8900,0.731123595505618,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054117/
Нефтехимик,Автомобилист,4,3,36,39,0.1111111111111111,0.07692307692307693,37,28,0.5692307692307692,0.4307692307692308,3270,6050,0.540495867768595,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054119/
Авангард,Куньлунь Ред Стар,0,4,33,24,0.0,0.16666666666666666,28,30,0.4827586206896552,0.5172413793103449,10981,12011,0.9142452751644327,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054121/
Северсталь,Трактор,4,3,30,27,0.13333333333333333,0.1111111111111111,27,27,0.5,0.5,3815,6064,0.629122691292876,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054123/
Торпедо,Динамо Мн,5,2,42,19,0.11904761904761904,0.10526315789473684,27,35,0.43548387096774194,0.5645161290322581,5500,5600,0.9821428571428571,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054125/
Витязь,Спартак,2,1,46,32,0.043478260869565216,0.03125,29,30,0.4915254237288136,0.5084745762711864,3964,5525,0.7174660633484163,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054127/
Амур,ЦСКА,2,3,27,45,0.07407407407407407,0.06666666666666667,25,42,0.373134328358209,0.6268656716417911,4318,7100,0.6081690140845071,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054129/
Металлург Мг,Динамо М,1,3,30,32,0.03333333333333333,0.09375,23,25,0.4791666666666667,0.5208333333333334,2495,7700,0.32402597402597405,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054131/
Сибирь,Адмирал,2,4,33,22,0.06060606060606061,0.18181818181818182,30,34,0.46875,0.53125,3025,6055,0.4995871180842279,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054133/
Барыс,Куньлунь Ред Стар,0,5,28,29,0.0,0.1724137931034483,29,33,0.46774193548387094,0.532258064516129,4818,12000,0.4015,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054135/
Автомобилист,Торпедо,4,1,18,34,0.2222222222222222,0.029411764705882353,31,17,0.6458333333333334,0.3541666666666667,4159,5570,0.7466786355475763,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054137/
Нефтехимик,Трактор,0,1,24,32,0.0,0.03125,24,30,0.4444444444444444,0.5555555555555556,3154,6050,0.5213223140495867,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054139/
СКА,Динамо Мн,0,0,30,20,0.0,0.0,31,20,0.6078431372549019,0.39215686274509803,10113,12500,0.80904,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054141/
Спартак,Витязь,0,0,32,42,0.0,0.0,39,29,0.5735294117647058,0.4264705882352941,2151,12724,0.16905061301477523,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054143/
Металлург Мг,Ак Барс,4,1,26,33,0.15384615384615385,0.030303030303030304,24,27,0.47058823529411764,0.5294117647058824,3570,7700,0.4636363636363636,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054145/
Динамо М,Северсталь,2,1,37,26,0.05405405405405406,0.038461538461538464,37,14,0.7254901960784313,0.27450980392156865,3037,11500,0.26408695652173914,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054147/
Авангард,Амур,4,1,38,15,0.10526315789473684,0.06666666666666667,26,32,0.4482758620689655,0.5517241379310345,10870,12011,0.9050037465656482,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054149/
Барыс,Адмирал,3,1,26,22,0.11538461538461539,0.045454545454545456,33,23,0.5892857142857143,0.4107142857142857,3581,12000,0.29841666666666666,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054151/
Салават Юлаев,Торпедо,1,2,37,27,0.02702702702702703,0.07407407407407407,35,29,0.546875,0.453125,5521,8522,0.6478526167566299,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054153/
Трактор,Сибирь,0,0,24,26,0.0,0.0,41,25,0.6212121212121212,0.3787878787878788,4350,7500,0.58,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054155/
Локомотив,СКА,3,1,27,26,0.1111111111111111,0.038461538461538464,34,18,0.6538461538461539,0.34615384615384615,2000,9071,0.22048285745783266,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054157/
Витязь,ЦСКА,1,2,23,31,0.043478260869565216,0.06451612903225806,16,33,0.32653061224489793,0.673469387755102,3634,5525,0.657737556561086,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054159/
Спартак,Динамо Мн,0,0,38,38,0.0,0.0,41,25,0.6212121212121212,0.3787878787878788,2176,12724,0.17101540396101855,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054161/
ХК Сочи,Нефтехимик,0,0,25,46,0.0,0.0,31,41,0.4305555555555556,0.5694444444444444,4822,12000,0.4018333333333333,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054163/
Автомобилист,Ак Барс,2,1,25,33,0.08,0.030303030303030304,34,23,0.5964912280701754,0.40350877192982454,5545,5570,0.9955116696588869,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054165/
Куньлунь Ред Стар,Северсталь,3,5,21,39,0.14285714285714285,0.1282051282051282,38,26,0.59375,0.40625,546,7000,0.078,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054167/
Динамо М,Сибирь,3,4,30,29,0.1,0.13793103448275862,32,26,0.5517241379310345,0.4482758620689655,4195,11500,0.36478260869565216,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054181/
Авангард,Адмирал,3,4,23,29,0.13043478260869565,0.13793103448275862,34,27,0.5573770491803278,0.4426229508196721,11489,12011,0.956539838481392,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054169/
Барыс,Амур,5,1,28,21,0.17857142857142858,0.047619047619047616,31,29,0.5166666666666667,0.48333333333333334,5832,12000,0.486,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054171/
Салават Юлаев,Нефтехимик,4,0,26,29,0.15384615384615385,0.0,39,30,0.5652173913043478,0.43478260869565216,6631,8522,0.7781037315184229,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054175/
Металлург Мг,Торпедо,2,1,36,31,0.05555555555555555,0.03225806451612903,34,19,0.6415094339622641,0.3584905660377358,3601,7700,0.46766233766233767,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054173/
Локомотив,Динамо Мн,3,2,21,27,0.14285714285714285,0.07407407407407407,40,21,0.6557377049180327,0.3442622950819672,6259,9071,0.6900011024142872,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054177/
Витязь,СКА,0,5,28,47,0.0,0.10638297872340426,33,45,0.4230769230769231,0.5769230769230769,3849,5525,0.6966515837104073,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054179/
